vi, page and make sure that:, trang và đảm bảo rằng:
vi,"""Cash on delivery"" status","tình trạng ""tiền mặt khi giao hàng"""
vi,"""Site management""","""Quản lý trang web"""
vi,"""X product"" options","""X sản phẩm"" tùy chọn"
vi,"""{{number}}"" tracking number is added","""{{Số}}"" số theo dõi được thêm"
vi,"""{{number}}"" tracking number is removed","""{{Số}}"" số theo dõi là loại bỏ"
vi,"""{{product}} product"" attributes","""{{Product}} sản phẩm"" thuộc tính"
vi,# selected,# đã chọn
vi,%,%
vi,RESULT' argument not found,Lập luận KẾT QUẢ' không tìm thấy
vi,status' request argument can not found,Lập luận theo yêu cầu tình trạng không thể tìm thấy
vi,(disabled role),(Vai trò vô hiệu hóa)
vi,"(like categories, weight, description, color)","(Như loại, trọng lượng, mô tả, màu sắc)"
vi,(optional),(không bắt buộc)
vi,(without writing a single line of code) - 2 min,(Mà không cần viết một dòng mã) - 2 phút
vi,+12130000000,+12130000000
vi,+15550000000,+15550000000
vi,- OR -,- HOẶC LÀ -
vi,-- No categories --,- Không loại -
vi,-- empty --,-- trống --
vi,...Downloading {{entry}}...{{status}},... Tải xuống {{entry}} ... {{status}}
vi,...Hooks {{hooksCount}},... Móc {{}} hooksCount
vi,"...Hooks {{hooksCount}}, Items {{itemsCount}}...","... Móc {{hooksCount}}, {{Items itemsCount}} ..."
vi,...Invoke {{type}} hook for {{entry}}...,... Gọi {{kiểu}} móc cho {{entry}} ...
vi,...Unpacking {{entry}}...{{status}},... Tháo bao bì {{entry}} ... {{status}}
vi,1 day,1 ngày
vi,1 hour,1 giờ
vi,1 minute,1 phút
vi,1 week,1 tuần
vi,10 minutes,10 phút
vi,1000 Example street,1000 đường Ví dụ
vi,1000 Main Street,1000 Main Street
vi,12 hours,12 giờ
vi,"120+ supported payment gateways, such as PayPal, Authorize.net and etc.","120 + cổng thanh toán được hỗ trợ, chẳng hạn như PayPal, Authorize.net và vv"
vi,14days,14 ngày
vi,15 minutes,15 phút
vi,18 years,18 năm
vi,19 years,19 năm
vi,2 days,2 ngày
vi,2 hours,2 giờ
vi,2Checkout.com account number,số tài khoản 2Checkout.com
vi,30 minutes,30 phút
vi,30days,30 ngày
vi,4 hours,4 tiếng
vi,404 page,trang 404
vi,5 days,5 ngày
vi,6 hours,6 tiếng
vi,7days,7 ngày
vi,90001,90001
vi,<span>X</span> items,<Span> X </ span> mục
vi,A - Z,A - Z
vi,A DB error occurred while uninstalling the module X,xảy ra Một DB lỗi khi gỡ bỏ cài đặt các mô-đun X
vi,A dispute has been opened successfully,Một cuộc tranh cãi đã được mở thành công
vi,A new category will be created,Một loại mới sẽ được tạo
vi,A new customer? Enter your e-mail,Một khách hàng mới? Nhập email của bạn
vi,A new membership will be created,Một thành viên mới sẽ được tạo
vi,A new product class will be created,Một lớp sản phẩm mới sẽ được tạo
vi,A new product will be created,Một sản phẩm mới sẽ được tạo
vi,"A new review has been submitted for the product ""{{name}}"".","Một đánh giá mới đã được gửi cho các sản phẩm ""{{name}}""."
vi,A new tax class will be created,Một lớp thuế mới sẽ được tạo
vi,A single domain,Tên miền duy nhất
vi,ABA routing number,ABA số định tuyến
vi,API Login ID,API Login ID
vi,API access password,mật khẩu truy cập API
vi,API access username,Tên truy nhập truy cập API
vi,API certificate,giấy chứng nhận API
vi,API certificate filename,API filename giấy chứng nhận
vi,API credentials for payments and post-checkout operations,chứng chỉ API cho thanh toán và hoạt động sau khi thanh toán
vi,API key is a secret key that allows to access REST API functionality. If this key is not specified in a request will not be executed.,khóa API là một chìa khóa bí mật mà cho phép chức năng API truy cập REST. Nếu khóa này không được quy định trong một yêu cầu sẽ không được thực thi.
vi,API signature,chữ ký API
vi,APRIL,Tháng Tư
vi,AUGUST,THÁNG TÁM
vi,About X remaining,Về X còn lại
vi,About clean urls,Về url sạch
vi,Absolute,tuyệt đối
vi,Accept,Chấp nhận
vi,Accept[TT],Chấp nhận [TT]
vi,Accepted orders,đơn đặt hàng được chấp nhận
vi,Access Key ID,Access Key ID
vi,Access denied,truy cập bị từ chối
vi,Access denied!,Access denied!
vi,Access information,Thông tin truy cập
vi,Access is locked out,Truy cập bị khóa
vi,Access level,Cấp độ truy cập
vi,Access level cannot be changed (from {{prevValue}} to {{value}}) for existing profile ({{login}}),cấp độ truy cập không thể thay đổi (từ {{prevValue}} để {{value}}) cho cấu hình hiện tại ({{đăng nhập}})
vi,Access link has been successfully sent,liên kết truy cập đã được gửi đi thành công
vi,Account,Tài khoản
vi,Account details,Chi tiết tài khoản
vi,Account settings,cài đặt tài khoản
vi,Account status,Tình trạng tài khoản
vi,Account summary,Tóm tắt tài khoản
vi,Accounting,Kế toán
vi,Action,Hoạt động
vi,"Action X::Y, M","Hành động X :: Y, M"
vi,Activate,Kích hoạt
vi,Activate existing key,Kích hoạt existing key
vi,Activate free license,giấy phép miễn phí Kích hoạt
vi,Activate free license & remove premium features.,Kích hoạt tính năng giấy phép & phí bảo hiểm remove miễn phí.
vi,Activate free license description,Kích hoạt mô tả bản quyền miễn phí
vi,Activate key,chìa khóa Kích hoạt
vi,Activate license key,Kích hoạt key bản quyền
vi,Activate purchased skin,Kích hoạt mua da
vi,Activate your X-Cart,Kích hoạt của bạn X-Cart
vi,Activate your X-Cart installation,Kích hoạt cài đặt X-Cart của bạn
vi,Activate your X-Cart installation first,Kích hoạt cài đặt X-Cart của bạn đầu tiên
vi,Activate your license key,Kích hoạt key bản quyền của bạn
vi,Activate your paid module license,Kích hoạt bản quyền phần thanh toán của bạn
vi,Active,Hoạt động
vi,Active from,hoạt động từ
vi,Active till,tích cực đến
vi,Add,Thêm vào
vi,Add PIN codes,Thêm mã PIN
vi,Add Product,Thêm sản phẩm
vi,Add TWIG code,Thêm mã TWIG
vi,Add a few [more products] to your catalog or proceed to the next step - whatever makes you happy.,Thêm một vài [chi tiết sản phẩm] vào cửa hàng của bạn hoặc tiến hành bước tiếp theo - bất cứ điều gì làm cho bạn hạnh phúc.
vi,Add addons,Thêm addons
vi,Add address,Thêm địa chỉ
vi,Add alternative payment method,Thêm phương thức thanh toán thay thế
vi,Add attribute,Thêm thuộc tính
vi,Add banner,Thêm biểu ngữ
vi,Add category,Thêm thể loại
vi,Add child,Thêm con
vi,Add comment here,Thêm bình luận ở đây
vi,Add countries,nước Add
vi,Add coupon,Thêm phiếu giảm giá
vi,Add discount,Add giảm giá
vi,Add featured products,Thêm sản phẩm đặc trưng
vi,"Add featured products for ""X""","Thêm sản phẩm đặc trưng cho ""X"""
vi,Add featured products for the front page,Thêm sản phẩm đặc trưng cho trang trước
vi,Add file,Thêm tập tin
vi,Add first product,Thêm sản phẩm đầu tiên
vi,Add image,Thêm hình ảnh
vi,Add language,Thêm ngôn ngữ
vi,Add markup,Thêm đánh dấu
vi,Add new,Thêm mới
vi,Add new address,thêm địa chỉ mới
vi,Add new country,Thêm quốc gia mới
vi,Add new coupon,Thêm phiếu giảm giá mới
vi,Add new exception,Thêm ngoại lệ mới
vi,Add new label,Thêm nhãn mới
vi,Add new language,Thêm ngôn ngữ mới
vi,Add new membership level,Thêm cấp độ thành viên mới
vi,Add new option,Thêm tùy chọn mới
vi,Add new option group,Thêm nhóm tùy chọn mới
vi,Add new state,Thêm trạng thái mới
vi,Add offline payment method,Thêm phương thức thanh toán ẩn
vi,Add other options,Thêm lựa chọn khác
vi,Add other products to compare,Thêm sản phẩm khác để so sánh
vi,Add payment method,Thêm phương thức thanh toán
vi,Add pin codes,Thêm mã pin
vi,Add product,Thêm sản phẩm
vi,Add products,Thêm sản phẩm
vi,Add rates,lãi Add
vi,Add related products,Thêm sản phẩm liên quan
vi,Add response,Thêm trả lời
vi,Add review,Thêm nhận xét
vi,Add sales channel,kênh Add bán hàng
vi,Add shipping method,Thêm phương pháp vận chuyển
vi,Add state,Thêm nhà nước
vi,Add states,Thêm quốc gia
vi,Add status,tình trạng add
vi,Add subcategory,Add tiểu thể loại
vi,Add to bag,Thêm vào túi
vi,Add to cart,Thêm vào giỏ hàng
vi,Add to compare,Thêm vào để so sánh
vi,Add to google product feed,Thêm vào google thức ăn chăn nuôi sản phẩm
